# Candidates extracted from the research-bot-prototype source lists (GenAI in higher education).
# URL | tags | classification keys
http://rss.arxiv.org/rss/cs.CY | genai in education, research, preprint, research methods, ai ethics, education applications | lcc:LB, lcc:QA
http://export.arxiv.org/rss/cs.CY+cs.HC | genai in education, research, preprint, hci, ui design, education applications | lcc:LB, lcc:QA
https://rss.arxiv.org/rss/cs.AI | genai in education, research, preprint, ai research, general ai, research methods | lcc:LB, lcc:QA
https://criticalai.org/feed/ | genai in education, research, stance: critical, editorial scholarly, humanities critique, ai literacy, design justice | lcc:LB, lcc:QA
https://bera-journals.onlinelibrary.wiley.com/feed/14678535/most-recent | genai in education, research, stance: neutral, peer reviewed, empirical studies, pedagogy, assessment | lcc:LB, lcc:QA
https://link.springer.com/search.rss?facet-journal-id=42438 | genai in education, research, stance: critical, peer reviewed, critical theory, philosophy of ed, global south | lcc:LB, lcc:QA
https://rss.sciencedirect.com/publication/science/26666557 | genai in education, research, stance: adoption-positive, peer reviewed, application studies, effect studies, tool evaluation | lcc:LB, lcc:QA
https://link.springer.com/search.rss?facet-journal-id=40593 | genai in education, research, stance: neutral, peer reviewed, intelligent tutoring, adaptive learning, ai pedagogy research | lcc:LB, lcc:QA
https://www.irrodl.org/index.php/irrodl/gateway/plugin/WebFeedGatewayPlugin/atom | genai in education, research, stance: neutral, peer reviewed, open learning, distance education, empirical research | lcc:LB, lcc:QA
https://www.tandfonline.com/feed/rss/cdie20 | genai in education, research, stance: neutral, peer reviewed, empirical studies, distance ed research, online learning | lcc:LB, lcc:QA
https://helenbeetham.substack.com/feed | genai in education, practice, stance: critical, editorial expert, critical pedagogy, ai literacy, research methods critique | lcc:LB
https://codeactsineducation.wordpress.com/feed/ | genai in education, practice, stance: critical, editorial expert, digital sociology, platform governance, data infrastructure | lcc:LB
https://drphilippahardman.substack.com/feed | genai in education, practice, stance: adoption-positive, editorial practitioner, learning design, instructional design, ai in practice | lcc:LB
https://donaldclarkplanb.blogspot.com/feeds/posts/default | genai in education, practice, stance: adoption-positive, editorial practitioner, industry framing, ed tech commentary, ai optimism | lcc:LB
https://biblioracle.substack.com/feed | genai in education, practice, stance: critical, editorial expert, writing pedagogy, assessment, composition | lcc:LB
https://annamills.substack.com/feed | genai in education, practice, editorial practitioner, writing pedagogy, open education, ai literacy | lcc:LB
https://marcwatkins.substack.com/feed | genai in education, practice, editorial practitioner, writing pedagogy, institutional implementation, ai policy | lcc:LB
https://bryanalexander.org/feed/ | genai in education, practice, editorial expert, he futurism, technology trends, broader sector analysis | lcc:LB
https://philonedtech.com/feed/ | genai in education, practice, stance: neutral, editorial expert, edtech market analysis, lms landscape, institutional strategy | lcc:LB
